1,0.008288,-0.023667,0.008153,-0.023569,C222,f2p1
1,0.008167,-0.023530,0.008135,-0.023492,C133,f2e2
1,0.008194,-0.023493,0.008131,-0.023426,C225-C227,f2p2
1,0.008308,-0.023455,0.008240,-0.023426,C220,f2p2
1,0.008310,-0.023426,0.008240,-0.023335,C216-C218,f2p3
1,0.008193,-0.023426,0.008131,-0.023334,C221-C223,f2p3
1,0.008311,-0.023334,0.008239,-0.023255,C221-C214,f2p4
1,0.008177,-0.023272,0.008131,-0.023210,C219,f2e1
1,0.008313,-0.023203,0.008241,-0.023086,C208-C210,f2p6
1,0.008196,-0.023210,0.008136,-0.023087,C215-C217,f2p6
1,0.008308,-0.023086,0.008240,-0.022994,C204-C206,f2p7
1,0.008197,-0.023088,0.008141,-0.022994,C211-C213,f2p7
1,0.008197,-0.022964,0.008143,-0.022910,C205-C207,f2p8
1,0.008197,-0.022910,0.008144,-0.022839,C201-C203,f2p9
